Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,15.415870,15.774379,15.385994,15.714627,5.137262,2546801
1980-12-15,15.714627,15.864006,15.415870,15.415870,5.039596,1408334
1980-12-16,15.415870,15.834130,15.385994,15.834130,5.176330,1914598
1980-12-17,15.774379,15.774379,15.475621,15.595124,5.098197,2135514
1980-12-18,15.595124,15.684751,15.206740,15.206740,4.971229,2739683
1980-12-19,15.236616,15.505497,15.236616,15.445746,5.049363,4230024
1980-12-22,15.445746,16.073135,15.415870,16.043261,5.244693,2281535
1980-12-23,16.043261,16.282267,15.983509,16.073135,5.254465,2452242
1980-12-24,16.073135,16.431644,16.013384,16.371893,5.352131,1214615
1980-12-26,16.371893,16.491396,16.342016,16.491396,5.391192,716719
1980-12-29,16.491396,16.610899,16.192638,16.252390,5.313064,1448082
1980-12-30,16.252390,16.551147,16.222513,16.401770,5.361896,1559795
1980-12-31,16.401770,16.521273,16.132887,16.222513,5.303295,1569837
1981-01-02,16.222513,16.551147,16.162764,16.521273,5.400961,1224238
1981-01-05,16.610899,16.909657,16.610899,16.790154,5.488863,3257244
1981-01-06,16.790154,17.088909,16.640774,17.088909,5.586525,4075216
1981-01-07,16.760277,16.760277,16.521273,16.610899,5.430260,4987328
1981-01-08,16.610899,16.670650,16.103010,16.162764,5.283764,2656003
1981-01-09,16.162764,16.252390,15.953633,16.103010,5.264228,1604564
1981-01-12,16.103010,16.252390,15.834130,15.953633,5.215394,2458937
1981-01-13,15.953633,15.953633,15.595124,15.893881,5.195864,2893654
1981-01-14,15.893881,16.132887,15.864006,15.953633,5.215394,1879453
1981-01-15,15.953633,15.953633,15.684751,15.714627,5.137262,1906649
1981-01-16,15.714627,16.013384,15.714627,15.983509,5.225160,3525857
1981-01-19,15.983509,16.073135,15.864006,15.923757,5.205628,2325886
1981-01-20,15.923757,16.043261,15.475621,15.535373,5.078663,2495338
1981-01-21,15.535373,15.684751,15.445746,15.565249,5.088430,1786150
1981-01-22,15.565249,15.625000,15.415870,15.595124,5.098197,1463145
1981-01-23,15.595124,15.684751,15.505497,15.535373,5.078663,1145161
1981-01-26,15.535373,15.654876,15.445746,15.535373,5.078663,1280722
1981-01-27,15.535373,15.744503,15.535373,15.654876,5.117728,1339717
1981-01-28,15.654876,15.684751,15.415870,15.445746,5.049363,1153110
1981-01-29,15.445746,15.654876,15.415870,15.505497,5.068894,1536783
1981-01-30,15.505497,15.654876,15.296367,15.385994,5.029830,1498290
1981-02-02,15.385994,15.385994,15.057361,15.146989,4.951696,1596614
1981-02-03,15.146989,15.356119,15.146989,15.356119,5.020064,1463982
1981-02-04,15.356119,15.475621,15.206740,15.415870,5.039596,1786568
1981-02-05,15.415870,15.415870,15.266491,15.296367,5.068101,1215870
1981-02-06,15.296367,15.475621,15.296367,15.356119,5.087902,1909578
1981-02-09,15.356119,15.385994,15.117113,15.176864,5.028508,1194114
1981-02-10,15.176864,15.206740,14.997610,15.057361,4.988915,1642638
1981-02-11,15.057361,15.117113,14.907983,14.967734,4.959216,1500801
1981-02-12,14.967734,14.997610,14.758604,14.758604,4.889928,1335114
1981-02-13,14.758604,14.848231,14.639101,14.758604,4.889928,1566908
1981-02-17,14.758604,14.937859,14.728728,14.818356,4.909727,1635526
1981-02-18,14.818356,14.907983,14.728728,14.818356,4.909727,1670671
1981-02-19,14.818356,14.878107,14.609226,14.639101,4.850333,1833847
1981-02-20,14.639101,14.728728,14.400096,14.459847,4.790942,1429673
1981-02-23,14.459847,14.907983,14.459847,14.818356,4.909727,2453498
1981-02-24,14.818356,14.967734,14.788480,14.848231,4.919624,2188232
1981-02-25,14.848231,15.356119,14.788480,15.356119,5.087902,2098276
1981-02-26,15.356119,15.505497,15.146989,15.475621,5.127492,2679015
1981-02-27,15.415870,15.415870,15.236616,15.356119,5.087902,1956020
1981-03-02,15.356119,15.356119,15.146989,15.206740,5.038408,1210013
1981-03-03,15.206740,15.236616,14.937859,14.937859,4.949319,1443898
1981-03-04,14.937859,15.027486,14.728728,14.788480,4.899826,1315031
1981-03-05,14.788480,14.907983,14.788480,14.818356,4.909727,1284070
1981-03-06,14.818356,14.907983,14.698853,14.788480,4.899826,1335114
1981-03-09,14.758604,15.117113,14.758604,15.057361,4.988915,1738452
1981-03-10,15.057361,15.146989,14.878107,14.937859,4.949319,2027985
1981-03-11,14.937859,14.997610,14.758604,14.878107,4.929518,1665232
1981-03-12,14.907983,15.326243,14.907983,15.296367,5.068101,1668579
1981-03-13,15.296367,15.445746,15.117113,15.117113,5.008712,1682386
1981-03-16,15.117113,15.475621,15.027486,15.445746,5.117598,2173170
1981-03-17,15.445746,15.595124,15.326243,15.356119,5.087902,2966038
1981-03-18,15.356119,15.595124,15.356119,15.475621,5.127492,1836358
1981-03-19,15.475621,15.475621,15.117113,15.236616,5.048304,2142208
1981-03-20,15.236616,15.326243,14.997610,15.087237,4.998812,2719182
